Tx1,Tx2,Tx3,Position_Label,Coordinate_Hint
-26,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-45,P1,"(0.35, 0.35)"
-25,-43,-43,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-24,-42,-44,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-43,-43,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-45,P1,"(0.35, 0.35)"
-25,-43,-44,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-25,-42,-45,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-43,-43,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-26,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-41,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-43,-44,P1,"(0.35, 0.35)"
-25,-42,-45,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-45,P1,"(0.35, 0.35)"
-25,-41,-45,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-42,-45,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-25,-42,-45,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-44,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-44,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-40,-43,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-44,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-44,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-24,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-41,-44,P1,"(0.35, 0.35)"
-25,-41,-43,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
